date,cumulative_cases,cumulative_recoveries
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,2,0
2020-03-08,3,0
2020-03-09,7,0
2020-03-10,7,0
2020-03-11,13,0
2020-03-12,16,0
2020-03-13,24,0
2020-03-14,38,0
2020-03-15,51,0
2020-03-16,62,0
2020-03-17,85,0
2020-03-18,116,0
2020-03-19,150,0
2020-03-20,202,0
2020-03-21,240,0
2020-03-22,274,0
2020-03-23,402,0
2020-03-24,554,0
2020-03-25,709,0
2020-03-26,927,0
2020-03-27,1170,0
2020-03-28,1187,0
2020-03-29,1280,0
2020-03-30,1326,0
2020-03-31,1353,0
2020-04-01,1380,0
2020-04-02,1462,45
2020-04-03,1505,45
2020-04-04,1585,45
2020-04-05,1655,45
2020-04-06,1686,45
2020-04-07,1749,45
2020-04-08,1845,45
2020-04-09,1934,45
2020-04-10,2003,410
2020-04-11,2028,410
2020-04-12,2173,410
2020-04-13,2272,410
2020-04-14,2415,410
2020-04-15,2506,410
2020-04-16,2605,903
2020-04-17,2783,903
2020-04-18,3034,903
2020-04-19,3158,903
2020-04-20,3300,1055
2020-04-21,3465,1055
2020-04-22,3635,1055
2020-04-23,3953,1473
2020-04-24,4220,1473
2020-04-25,4361,1473
2020-04-26,4546,1473
2020-04-27,4793,1473
2020-04-28,4996,2073
2020-04-29,5350,2073
2020-04-30,5647,2073
2020-05-01,5951,2382
2020-05-02,6336,2549
2020-05-03,6783,2549
2020-05-04,7220,2746
2020-05-05,7572,2746
2020-05-06,7808,3153
2020-05-07,8232,3153
2020-05-08,8895,3153
2020-05-09,9420,3983
2020-05-10,10015,4173
2020-05-11,10652,4357
2020-05-12,11350,4357
2020-05-13,12074,4754
2020-05-14,12739,5676
2020-05-15,13524,6083
2020-05-16,14355,6478
2020-05-17,15515,7006
2020-05-18,16433,7298
2020-05-19,17200,7960
2020-05-20,18003,8950
2020-05-21,19137,8950
2020-05-22,20125,10104
2020-05-23,21343,10104
2020-05-24,22583,11100
2020-05-25,23615,11917
